"","e10","e11","gender","student","maletype","diff10_11"
"1",0.690807799442897,0.938118811881188,"Male","Student",0.568842268842269,0.247311012438291
"2",1,0.938118811881188,"Female","Non-Student",0.575757575757576,-0.061881188118812
"3",0.142061281337047,0.938118811881188,"Male","Student",0.696927344726087,0.796057530544141
"4",0.534818941504178,0.938118811881188,"Female","Non-Student",0.49845513963161,0.40329987037701
"5",1,0.938118811881188,"Female","Non-Student",0.57225745830397,-0.061881188118812
"6",1,0.938118811881188,"Male","Student",0.602557627557628,-0.061881188118812
"7",1,0.938118811881188,"Male","Student",0.61166300242101,-0.061881188118812
"8",0.690807799442897,0.938118811881188,"Male","Student",0.626114184613631,0.247311012438291
"9",0.690807799442897,0.938118811881188,"Male","Student",0.693897041695784,0.247311012438291
"10",0.84958217270195,0.881188118811881,"Male","Non-Student",0.669082357971247,0.0316059461099309
"11",0.690807799442897,0.881188118811881,"Female","Non-Student",0.621212121212121,0.190380319368984
"12",0.84958217270195,0.685643564356436,"Male","Non-Student",0.567474747474747,-0.163938608345514
"13",0.84958217270195,0.881188118811881,"Female","Non-Student",0.661806864997488,0.0316059461099309
"14",0.84958217270195,0.782178217821782,"Male","Non-Student",0.696927344726087,-0.067403954880168
"15",0.534818941504178,0.829207920792079,"Female","Non-Student",0.623313131313131,0.294388979287901
"16",0.690807799442897,0.829207920792079,"Male","Student",0.620453514739229,0.138400121349182
"17",0.84958217270195,0.829207920792079,"Male","Non-Student",0.597727272727273,-0.0203742519098711
"18",0.142061281337047,0.829207920792079,"Female","Non-Student",0.493030303030303,0.687146639455032
"19",1,0.685643564356436,"Female","Student",0.719877344877345,-0.314356435643564
"20",0.933147632311978,0.782178217821782,"Female","Student",0.490848157444796,-0.150969414490196
"21",0.222841225626741,0.782178217821782,"Female","Non-Student",0.530909090909091,0.559336992195041
"22",0.84958217270195,0.685643564356436,"Male","Non-Student",0.684581665713741,-0.163938608345514
"23",0.84958217270195,0.782178217821782,"Female","Student",0.624851339137053,-0.067403954880168
"24",0.690807799442897,0.782178217821782,"Male","Student",0.62044232069149,0.0913704183788849
"25",1,0.618811881188119,"Female","Non-Student",0.512198912198912,-0.381188118811881
"26",0.362116991643454,0.586633663366337,"Female","Non-Student",0.663078677144161,0.224516671722883
"27",0.362116991643454,0.685643564356436,"Male","Non-Student",0.720488802756244,0.323526572712982
"28",0.84958217270195,0.685643564356436,"Male","Non-Student",0.684045121545122,-0.163938608345514
"29",0.534818941504178,0.685643564356436,"Female","Non-Student",0.647397717111766,0.150824622852258
"30",0.84958217270195,0.685643564356436,"Male","Non-Student",0.675204225453395,-0.163938608345514
"31",1,0.685643564356436,"Female","Non-Student",0.615569512248758,-0.314356435643564
"32",0.690807799442897,0.48019801980198,"Female","Student",0.597914023960536,-0.210609779640917
"33",0.933147632311978,0.685643564356436,"Male","Non-Student",0.448841354723708,-0.247504067955542
"34",1,0.685643564356436,"Male","Non-Student",0.603030303030303,-0.314356435643564
"35",0.362116991643454,0.685643564356436,"Female","Non-Student",0.432051282051282,0.323526572712982
"36",0.222841225626741,0.685643564356436,"Male","Non-Student",0.719198790627362,0.462802338729695
"37",1,0.398514851485149,"Female","Non-Student",0.614521281187948,-0.601485148514851
"38",0.763231197771588,0.48019801980198,"Male","Student",0.645057420431175,-0.283033177969608
"39",0.362116991643454,0.586633663366337,"Female","Student",0.62995337995338,0.224516671722883
"40",0.362116991643454,0.586633663366337,"Female","Non-Student",0.43,0.224516671722883
"41",0.690807799442897,0.398514851485149,"Male","Non-Student",0.811320754716981,-0.292292947957748
"42",0.362116991643454,0.48019801980198,"Female","Student",0.575869809203143,0.118081028158526
"43",0.690807799442897,0.264851485148515,"Male","Non-Student",0.567474747474747,-0.425956314294382
"44",0.362116991643454,0.537128712871287,"Male","Student",0.574182854182854,0.175011721227833
"45",0.534818941504178,0.48019801980198,"Female","Non-Student",0.458337478754715,-0.054620921702198
"46",0.534818941504178,0.309405940594059,"Male","Non-Student",0.696927344726087,-0.225413000910119
"47",0.84958217270195,0.48019801980198,"Male","Student",0.763662483069491,-0.36938415289997
"48",1,0.398514851485149,"Female","Student",0.571212121212121,-0.601485148514851
"49",0.534818941504178,0.398514851485149,"Female","Non-Student",0.701688082640464,-0.136304090019029
"50",0.690807799442897,0.398514851485149,"Male","Student",0.707257402675192,-0.292292947957748
"51",0.175487465181058,0.537128712871287,"Female","Non-Student",0.568842268842269,0.361641247690229
"52",0.763231197771588,0.537128712871287,"Male","Non-Student",0.56,-0.226102484900301
"53",0.362116991643454,0.398514851485149,"Female","Non-Student",0.664362175211232,0.036397859841695
"54",0.534818941504178,0.309405940594059,"Male","Student",0.700304936153993,-0.225413000910119
"55",0.84958217270195,0.398514851485149,"Male","Non-Student",0.659374190416419,-0.451067321216801
"56",0.362116991643454,0.0816831683168317,"Male","Student",0.707985958753839,-0.280433823326622
"57",0.362116991643454,0.163366336633663,"Male","Non-Student",0.757977207977208,-0.198750655009791
"58",0.362116991643454,0.235148514851485,"Male","Student",0.704227099644889,-0.126968476791969
"59",0.272980501392758,0.163366336633663,"Male","Non-Student",0.724887496450839,-0.109614164759095
"60",0.222841225626741,0.309405940594059,"Male","Non-Student",0.567878787878788,0.086564714967318
"61",0.534818941504178,0.163366336633663,"Male","Student",0.738993710691824,-0.371452604870515
"62",0.763231197771588,0.264851485148515,"Male","Non-Student",0.719198790627362,-0.498379712623073
"63",0.222841225626741,0.309405940594059,"Male","Non-Student",0.748076923076923,0.086564714967318
"64",0.690807799442897,0.101485148514851,"Male","Non-Student",0.718764831514001,-0.589322650928046
"65",0.534818941504178,0.163366336633663,"Male","Non-Student",0.723128723128723,-0.371452604870515
"66",0.0473537604456825,0.163366336633663,"Male","Non-Student",0.703703703703704,0.116012576187981
"67",0.272980501392758,0.235148514851485,"Male","Non-Student",0.598636918636919,-0.037831986541273
"68",0.84958217270195,0.163366336633663,"Male","Non-Student",0.680569430569431,-0.686215836068287
"69",0.142061281337047,0.0643564356435644,"Male","Non-Student",0.598309665013328,-0.0777048456934826
"70",0.362116991643454,0.0643564356435644,"Female","Non-Student",0.523337478754715,-0.29776055599989
"71",0.933147632311978,0.163366336633663,"Female","Non-Student",0.571465821000705,-0.769781295678315
"72",0.362116991643454,0.0643564356435644,"Female","Student",0.612878787878788,-0.29776055599989
"73",0,0.0371287128712871,"Male","Non-Student",0.710955710955711,0.0371287128712871
